Sno,Items,Description,Price(in AED),Image url
7,Nonna's Chicken Wings (6) - BBQ,"Premium, thick, juicy wings smothered in your choice of Smoky BBQ sauce. Served with a Blue cheese dip (6 wings)",32,https://images.deliveryhero.io/image/talabat/Menuitems/DCFF61FF2AF96CE792DDE55B8A454233?width=172&amp;height=172
8,Nonna's Chicken Wings (6) - Buffalo,"Premium, thick, juicy wings smothered in tangy Buffalo sauce. Served with a Blue cheese dip",32,https://images.deliveryhero.io/image/talabat/Menuitems/1A3E4EE5CF3DDBC6E50122561EDABC47?width=172&amp;height=172
9,Tuscan Chicken Pasta Salad,"Served cold A delightful mix of Italian flavours and one of Nonna's crowd pleasers - fusili pasta, kalamata olives, shredded roast chicken, sweetcorn, fresh rocket, sun-dried tomato, pine nuts, homemade fresh basil pesto and parmesan",43,https://images.deliveryhero.io/image/talabat/Menuitems/303F3D7D33FAA697EC415F27313E760C?width=172&amp;height=172
10,Nonna's Grilled Chicken Caesar Salad,"Crispy Romaine lettuce with Nonna's creamy Caesar dressing, homemade garlic croutons, powdered parmesan cheese and grilled chicken breast",43,https://images.deliveryhero.io/image/talabat/Menuitems/2CE50F7174DA328B002D15AF3DC724A7?width=172&amp;height=172
11,Sicilian Tuna Pasta Salad,"Served cold Fusili pasta with Nonna's tuna mayo with Mediterranean tuna, sundried tomato, sweetcorn and spring onion",43,https://images.deliveryhero.io/image/talabat/Menuitems/447C54ED3FFFCC560DE77F7A11CD017A?width=172&amp;height=172
12,Insalata Caprese,"Sliced vine tomato with thick cut slices of fresh mozzarella, topped with Nonna's homemade basil pesto, fresh rocket and premium Italian EVOO",49,https://images.deliveryhero.io/image/talabat/Menuitems/6ABC91B2F17690BB2C0946929B434DD3?width=172&amp;height=172
13,Nonna's Spaghetti Bolognese,An Italian classic - premium spaghetti pasta tossed with Nonna's homemade rich Beef Bolognese sauce - bellissima!,49,https://images.deliveryhero.io/image/talabat/Menuitems/F89775B299576ACB6E3DFA8CAB5401AB?width=172&amp;height=172
14,Tagliatelle Della Mamma,"Mamma Mia! Premium tagliatelle pasta, with Mamma's famous cream sauce of sauteed shrimp and roast garlic! Maraviglioso! (mildly spicy)",59,https://images.deliveryhero.io/image/talabat/Menuitems/70F8D9F786F734A816A53D5698069EBD?width=172&amp;height=172
15,Penne Alfredo,Premium penne pasta with a rich and creamy sauce of oven roast chicken and fresh mushroom. Topped with Parmesan,49,https://images.deliveryhero.io/image/talabat/Menuitems/D26CDDDC35FCF83CBF316F4B9288DF99?width=172&amp;height=172
16,Gnocchi Alla Quattro Formaggi,"Deliciously satisfying gnocchi pasta with a creamy, cheesy homemade four cheese sauce (cheddar, parmesan, gorgonzola and emmenthal)",49,https://images.deliveryhero.io/image/talabat/Menuitems/BF11FDC060C31D8F57AB039012B2DDAF?width=172&amp;height=172
17,Tortelloni Della Nonna,"Mamma's delicious spinach & ricotta stuffed tortelloni, mixed with a cream sauce of smoked turkey, shiitake mushroom and emmental. Just the way Nonna likes it!",59,https://images.deliveryhero.io/image/talabat/Menuitems/49A6403E2DAD51A0A1FE9890AFCE4D04?width=172&amp;height=172
18,Fusili Bianco Rosso,"Fusili pasta swirls mixed in Nonna's rich, flavour packed pomodoro sauce, topped with fresh straciatella and chili flakes",59,https://images.deliveryhero.io/image/talabat/Menuitems/860423B1DD8508128849FE2518F6DEC2?width=172&amp;height=172
